navPath,oldLocation,newHubFile,migrationStatus,notes
"/credit-report-workflow","Standalone nav item","/credit-hub","Consolidated","Now accessible via Credit Reports Hub - Workflows tab"
"/admin/ai-reviews","Standalone nav item","/ai-hub","Consolidated","Now accessible via AI Hub"
"/credit-analysis","Standalone nav item","/ai-hub","Consolidated","Now accessible via AI Hub"
"/predictive-analytics","Standalone nav item","/analytics-hub","Consolidated","Now accessible via Analytics Hub"
"/contacts","Contact Management group","/clients-hub","Consolidated","All contact features now in Clients Hub"
"/client-intake","Contact Management group","/clients-hub","Consolidated","Client intake now a tab in Clients Hub"
"/pipeline","Contact Management group","/clients-hub","Consolidated","Sales pipeline now in Clients Hub"
"/import-contacts","Contact Management group","/clients-hub","Consolidated","Import feature now in Clients Hub"
"/export-contacts","Contact Management group","/clients-hub","Consolidated","Export feature now in Clients Hub"
"/contact-reports","Contact Management group","/clients-hub","Consolidated","Reports now in Clients Hub"
"/segments","Contact Management group","/clients-hub","Consolidated","Segmentation now in Clients Hub"
"/credit-simulator","Credit Management group","/credit-hub","Consolidated","Credit simulator now in Credit Reports Hub"
"/business-credit","Credit Management group","/credit-hub","Consolidated","Business credit now in Credit Reports Hub"
"/credit-scores","Credit Management group","/credit-hub","Consolidated","Credit scores now in Credit Reports Hub"
"/dispute-letters","Credit Management group","/dispute-hub","Consolidated","Dispute center now in Dispute Hub"
"/dispute-status","Credit Management group","/dispute-hub","Consolidated","Dispute status now in Dispute Hub"
"/admin/disputes","Credit Management group","/dispute-admin","Consolidated","Admin disputes in Dispute Admin Panel"
"/credit-monitoring","Credit Management group","/credit-hub","Consolidated","Credit monitoring now in Credit Reports Hub"
"/credit-reports","Credit Management group","/credit-hub","Consolidated","Credit reports now in Credit Reports Hub"
"/communications","Communications group","/comms-hub","Consolidated","Communications center is primary hub interface"
"/letters","Communications group","/comms-hub","Consolidated","Letters now a tab in Communications Hub"
"/emails","Communications group","/comms-hub","Consolidated","Emails now a tab in Communications Hub"
"/sms","Communications group","/comms-hub","Consolidated","SMS now a tab in Communications Hub"
"/drip-campaigns","Communications group","/drip-campaigns-hub","Consolidated","Drip campaigns now have dedicated hub"
"/templates","Communications group","/comms-hub","Consolidated","Templates now a tab in Communications Hub"
"/call-logs","Communications group","/comms-hub","Consolidated","Call logs now in Communications Hub"
"/notifications","Communications group","/comms-hub","Consolidated","Notifications now in Communications Hub"
"/learning-center","Learning & Resources group","/learning-hub","Consolidated","Learning center is primary hub interface"
"/achievements","Learning & Resources group","/learning-hub","Consolidated","Achievements now in Learning Hub"
"/certificates","Learning & Resources group","/certification-hub","Consolidated","Certificates in Certification System Hub"
"/document-center","Documents & Forms group","/documents-hub","Consolidated","Document center is primary hub interface"
"/documents","Documents & Forms group","/documents-hub","Consolidated","Documents now in Documents Hub"
"/e-contracts","Documents & Forms group","/contracts-hub","Consolidated","E-contracts now in Contract Management Hub"
"/forms","Documents & Forms group","/documents-hub","Consolidated","Forms now in Documents Hub"
"/full-agreement","Documents & Forms group","/contracts-hub","Consolidated","Agreements now in Contract Management Hub"
"/information-sheet","Documents & Forms group","/documents-hub","Consolidated","Info sheets now in Documents Hub"
"/power-of-attorney","Documents & Forms group","/documents-hub","Consolidated","POA docs now in Documents Hub"
"/ach-authorization","Documents & Forms group","/billing-hub","Consolidated","ACH auth now in Billing Hub"
"/addendums","Documents & Forms group","/contracts-hub","Consolidated","Addendums now in Contract Management Hub"
"/document-storage","Documents & Forms group","/documents-hub","Consolidated","Storage now in Documents Hub"
"/companies","Business Management group","/clients-hub","Consolidated","Companies now in Clients Hub"
"/locations","Business Management group","/settings-hub","Consolidated","Locations now in Settings Hub"
"/invoices","Business Management group","/billing-hub","Consolidated","Invoices now in Billing Hub"
"/affiliates","Business Management group","/affiliates-hub","Consolidated","Affiliates now have dedicated hub"
"/billing","Business Management group","/billing-hub","Consolidated","Billing is primary hub interface"
"/calendar","Scheduling & Tasks group","/calendar-hub","Consolidated","Calendar now has dedicated hub"
"/appointments","Scheduling & Tasks group","/calendar-hub","Consolidated","Appointments now in Calendar Hub"
"/tasks","Scheduling & Tasks group","/tasks-hub","Consolidated","Tasks now have dedicated hub"
"/reminders","Scheduling & Tasks group","/tasks-hub","Consolidated","Reminders now in Tasks Hub"
"/analytics","Analytics & Reports group","/analytics-hub","Consolidated","Analytics is primary hub interface"
"/reports","Analytics & Reports group","/reports-hub","Consolidated","Reports now have dedicated hub"
"/goals","Analytics & Reports group","/analytics-hub","Consolidated","Goals now in Analytics Hub"
"/resources/articles","Resources group","/resources-hub","Consolidated","Articles now in Resource Library Hub"
"/resources/faq","Resources group","/resources-hub","Consolidated","FAQ now in Resource Library Hub"
"/apps/overview","Mobile Apps group","/mobile-app-hub","Consolidated","Apps overview now in Mobile App Hub"
"/apps/employee","Mobile Apps group","/mobile-app-hub","Consolidated","Employee app now in Mobile App Hub"
"/apps/client","Mobile Apps group","/mobile-app-hub","Consolidated","Client app now in Mobile App Hub"
"/apps/affiliate","Mobile Apps group","/mobile-app-hub","Consolidated","Affiliate app now in Mobile App Hub"
"/settings","Administration group","/settings-hub","Consolidated","Settings is primary hub interface"
"/team","Administration group","/settings-hub","Consolidated","Team management now in Settings Hub"
"/roles","Administration group","/settings-hub","Consolidated","Roles now in Settings Hub"
"/user-roles","Administration group","/settings-hub","Consolidated","User roles now in Settings Hub"
"/integrations","Administration group","/settings-hub","Consolidated","Integrations now in Settings Hub"
"/support","Administration group","/support-hub","Consolidated","Support now has dedicated hub"
"/system-map","Administration group","/settings-hub","Consolidated","System map now in Settings Hub"
"/whitelabel/branding","White Label group (retained)","Standalone","Kept Separate","Master admin only - remains standalone"
"/whitelabel/domains","White Label group (retained)","Standalone","Kept Separate","Master admin only - remains standalone"
"/whitelabel/plans","White Label group (retained)","Standalone","Kept Separate","Master admin only - remains standalone"
"/whitelabel/tenants","White Label group (retained)","Standalone","Kept Separate","Master admin only - remains standalone"
