File Path,Type,Category,Status,Has Sample Data,Has Firebase,Lines (Est),Quality Score,Action,Target Location,Notes
src/pages/hubs/ClientsHub.jsx,Hub,Core,Active,No,Yes,4179,9,KEEP,-,MEGA hub - 12 tabs - production ready
src/pages/hubs/AffiliatesHub.jsx,Hub,Business,Active,No,Yes,4202,9,KEEP,-,MEGA hub - 50+ AI features
src/pages/hubs/MarketingHub.jsx,Hub,Business,Active,No,Yes,3401,9,KEEP,-,Complete marketing suite
src/pages/hubs/CommunicationsHub.jsx,Hub,Core,Active,No,Yes,2308,9,KEEP,-,Enterprise comms - 30+ AI features
src/pages/hubs/SettingsHub.jsx,Hub,Admin,Active,No,Yes,1511,9,KEEP,-,Enterprise control center
src/pages/hubs/AIHub.jsx,Hub,Core,Active,No,Yes,1422,9,KEEP,-,Advanced AI platform
src/pages/hubs/DocumentsHub.jsx,Hub,Core,Active,Yes,Yes,1232,8,ENHANCE,-,Has mock client names lines 588-593
src/pages/hubs/AnalyticsHub.jsx,Hub,Core,Active,Yes,No,844,7,ENHANCE,-,Has mock data - needs Firebase
src/pages/hubs/BillingHub.jsx,Hub,Admin,Active,No,Yes,747,8,KEEP,-,Payment management
src/pages/hubs/DisputeHub.jsx,Hub,Core,Active,No,Yes,739,8,KEEP,-,Active dispute management
src/pages/hubs/CreditReportsHub.jsx,Hub,Core,Active,No,No,179,6,ENHANCE,-,Wrapper only - minimal implementation
src/pages/hubs/TasksSchedulingHub.jsx,Hub,Core,Active,No,Yes,2800,8,KEEP,-,10 tabs - team features
src/pages/hubs/CalendarSchedulingHub.jsx,Hub,Core,Placeholder,No,No,80,3,ENHANCE,-,CRITICAL: Incomplete stub - needs Calendar.jsx code
src/pages/hubs/ReportsHub.jsx,Hub,Core,Active,No,Yes,3500,8,KEEP,-,Has TODO comments
src/pages/hubs/LearningHub.jsx,Hub,Learning,Active,Yes,Yes,628,7,ENHANCE,-,Has mock team members
src/pages/hubs/ComplianceHub.jsx,Hub,Admin,Active,Yes,Yes,702,7,ENHANCE,-,Has demo audit trail
src/pages/hubs/SupportHub.jsx,Hub,Support,Active,No,Yes,500,8,KEEP,-,Help desk system
src/pages/hubs/TrainingHub.jsx,Hub,Learning,Active,No,Yes,500,8,KEEP,-,Training programs
src/pages/hubs/ResourceLibraryHub.jsx,Hub,Resources,Active,No,Yes,500,8,KEEP,-,Knowledge base
src/pages/hubs/ReferralEngineHub.jsx,Hub,Business,Active,No,Yes,500,7,ENHANCE,-,Has TODO comments
src/pages/hubs/ReferralPartnerHub.jsx,Hub,Business,Active,No,Yes,500,8,KEEP,-,Partner management
src/pages/hubs/RevenueHub.jsx,Hub,Admin,Active,No,Yes,500,8,KEEP,-,Revenue tracking
src/pages/hubs/RevenuePartnershipsHub.jsx,Hub,Admin,Active,No,Yes,500,8,KEEP,-,Partnership revenue
src/pages/hubs/ReviewsReputationHub.jsx,Hub,Business,Active,No,Yes,500,8,KEEP,-,Reputation management
src/pages/hubs/SocialMediaHub.jsx,Hub,Marketing,Active,No,Yes,500,8,KEEP,-,Social management
src/pages/hubs/WebsiteLandingPagesHub.jsx,Hub,Marketing,Active,No,Yes,500,8,KEEP,-,Website builder
src/pages/hubs/CollectionsARHub.jsx,Hub,Admin,Active,No,Yes,500,8,KEEP,-,Collections management
